fips,start,end,aet,cwd
29041,2012,2016,506.9169733,594.3802698
37065,1950,1980,652.7141472,644.7974912
37065,1982,2011,644.5159159,640.0490163
37065,2007,2011,612.3993902,675.6518887
37065,2012,2016,696.6818575,535.1241407
13265,1950,1980,725.1387444,673.0940131
13265,1982,2011,712.6569778,671.7475089
13265,2007,2011,664.2918362,746.6629195
13265,2012,2016,664.6472217,724.9269078
48001,1950,1980,607.6693397,838.4688101
48001,1982,2011,637.2382413,780.8073251
48001,2007,2011,626.537002,807.3562197
48001,2012,2016,597.1880229,813.1664633
37109,1950,1980,644.70530900000006,634.1030703
37109,1982,2011,642.4667392,625.9864866
37109,2007,2011,629.267973,669.4615079
37109,2012,2016,650.9175484,623.0474001
48279,1950,1980,329.5919545,1129.747747
48279,1982,2011,357.4250014,1102.369981
48279,2007,2011,336.0920737,1153.581212
48279,2012,2016,356.8789698,1122.239231
54041,1950,1980,682.3443226,479.2814041
54041,1982,2011,689.4698799,478.1728186
54041,2007,2011,693.3090192,456.946686
54041,2012,2016,677.2151256,484.0264679
26049,1950,1980,454.8106742,490.9071745
26049,1982,2011,474.9847038,468.4092188
26049,2007,2011,490.078753,455.5211744
26049,2012,2016,500.5299391,457.5413562
49017,1950,1980,199.4796095,1022.657177
49017,1982,2011,222.7186219,1018.207478
49017,2007,2011,192.0381091,1040.497944
49017,2012,2016,244.1944221,1008.430364
17089,1950,1980,499.7571724,501.8221954
17089,1982,2011,505.3168694,493.0563651
17089,2007,2011,548.663363,431.5494383
17089,2012,2016,540.7461076,453.0747469
53063,1950,1980,245.0265756,703.5073078
53063,1982,2011,252.0148274,700.5525406
53063,2007,2011,253.1022897,687.9794352
53063,2012,2016,258.1400516,717.8211644
5027,1950,1980,662.4790521,758.4075246
5027,1982,2011,651.8360713,740.5161299
5027,2007,2011,638.8578643,771.7660006
5027,2012,2016,617.3981366,769.6255542
48291,1950,1980,689.1328772,757.3895941
48291,1982,2011,732.2454527,673.7836703
48291,2007,2011,713.7897909,704.1446094
48291,2012,2016,728.8663848,684.0437722
47047,1950,1980,654.8039773,628.8371146
47047,1982,2011,664.1957347,599.2624902
47047,2007,2011,655.1218786,625.7642041
47047,2012,2016,686.7328724,575.6968336
22083,1950,1980,683.7621314,734.8106838
22083,1982,2011,687.7626247,714.1181648
22083,2007,2011,678.1339513,751.1825514
22083,2012,2016,679.5949371,726.4025573
1019,1950,1980,693.1186378,663.0950055
1019,1982,2011,684.8389189,637.6153041
1019,2007,2011,658.9077294,691.3091194
1019,2012,2016,651.4382353,675.3895695
37119,1950,1980,652.6945477,636.1405087
37119,1982,2011,630.3028498,647.9484859
37119,2007,2011,627.4272952,682.2631273
37119,2012,2016,643.8151096,657.7091588
35061,1950,1980,199.0219424,1324.110976
35061,1982,2011,241.5774286,1319.415375
